numberOfLoops,errorCount
280,26
280,43
268,42
284,52
268,53
288,47
291,46
259,50
271,46
282,39
271,48
278,44
227,47
281,37
275,51
279,48
271,46
271,47
280,50
288,42
274,44
293,44
314,30
275,46
294,41
275,45
284,37
282,63
287,48
287,50
267,46
281,42
281,38
282,34
284,34
277,50
284,40
277,44
299,48
278,42
302,40
281,54
283,32
282,32
259,35
262,52
271,57
300,32
284,42
279,46
276,40
283,38
272,53
278,37
282,36
292,25
288,41
287,54
283,48
295,41
275,38
278,55
275,44
293,27
265,49
292,38
257,33
271,49
272,49
282,47
276,44
272,45
242,43
310,37
296,47
298,38
293,41
258,57
279,37
320,30
277,46
303,34
287,51
284,38
281,48
277,50
294,40
283,51
267,37
290,35
232,36
288,38
279,48
269,41
293,27
296,53
299,24
303,36
254,42
287,38
290,48
305,29
303,27
289,54
286,35
297,32
282,48
282,47
301,42
289,39
278,49
275,44
293,47
259,58
298,26
271,38
288,55
298,42
284,34
284,37
261,49
275,38
282,43
268,59
283,45
263,39
285,36
290,37
309,28
280,44
270,47
274,54
287,49
292,44
207,41
296,40
278,37
267,54
278,37
290,32
281,41
283,41
260,45
275,37
297,27
285,32
267,42
290,36
294,40
288,51
275,48
283,49
274,52
272,52
273,49
271,39
278,51
289,42
287,47
261,60
287,46
283,39
296,39
273,45
263,48
285,36
286,48
281,36
283,48
281,36
268,52
269,46
289,44
301,43
289,39
300,35
265,48
283,52
298,35
297,43
286,38
278,48
289,24
255,46
280,40
304,39
279,52
283,46
278,33
282,41
287,52
292,41
286,33
269,65
294,34
288,45
298,36
294,40
264,50
291,40
273,28
270,47
291,43
285,51
269,48
264,43
239,58
284,48
286,33
284,44
269,48
269,45
270,49
275,41
293,41
297,40
277,46
292,40
273,36
314,40
285,40
279,36
301,34
307,26
291,27
283,43
286,39
294,43
273,40
293,40
284,39
306,39
294,37
265,49
280,42
306,36
280,26
273,53
274,52
292,38
278,34
275,47
296,49
294,43
303,24
286,50
293,40
280,38
290,26
311,20
311,30
270,54
286,48
268,39
301,28
295,39
278,43
300,44
287,39
275,38
281,43
280,48
290,43
288,33
282,40
292,30
227,20
311,33
313,22
280,44
273,57
300,36
251,40
282,40
293,43
304,33
284,42
297,36
268,54
264,62
182,4
279,41
256,46
281,44
281,50
258,52
309,39
290,61
285,39
278,59
280,36
293,58
294,38
287,37
279,51
289,43
282,47
261,62
268,51
299,35
288,28
292,38
264,36
269,60
295,37
295,41
268,52
273,39
305,37
293,39
286,41
294,33
298,33
265,43
263,54
286,38
302,30
271,46
289,38
287,29
261,47
289,40
278,51
278,41
286,46
302,44
288,47
293,44
308,33
267,48
269,42
297,30
278,33
290,43
279,32
279,37
289,48
272,45
285,31
284,42
262,48
288,34
303,33
284,32
304,21
266,49
289,44
292,40
291,45
293,55
280,55
278,35
265,47
286,42
267,55
299,38
298,41
291,40
265,43
279,38
275,52
272,36
281,39
230,49
285,37
317,34
295,49
284,44
283,40
308,41
286,39
304,33
280,46
278,48
290,31
283,51
278,43
317,13
283,46
309,39
300,32
290,47
276,52
270,48
294,26
255,47
293,39
287,50
261,73
298,45
272,43
308,29
285,40
283,50
268,46
287,55
287,44
265,36
259,55
275,48
285,43
283,38
272,55
272,49
262,46
275,44
326,13
285,24
270,44
277,53
280,47
296,28
280,38
271,46
288,53
274,37
266,52
279,44
307,37
304,40
282,38
275,33
284,32
266,52
286,38
280,49
302,50
270,65
300,38
299,36
290,43
295,32
275,57
283,48
269,42
288,38
303,50
280,38
300,34
272,33
248,22
306,28
272,50
272,44
296,42
297,45
291,37
276,58
280,47
294,36
278,52
307,24
295,32
277,35
273,41
303,42
283,51
257,28
281,49
287,44
290,41
287,45
288,44
284,49
285,44
277,37
276,45
245,22
288,48
290,41
290,25
270,42
274,51
287,36
282,51
287,46
303,34
294,34
289,31
282,42
294,40
297,46
278,40
280,44
274,52
285,43
301,43
297,36
245,31
301,25
265,57
256,63
273,42
284,35
282,43
284,38
234,30
298,41
278,53
284,42
272,45
294,35
288,42
267,40
267,59
275,56
283,44
268,45
271,39
292,30
272,51
280,44
280,46
282,44
272,34
278,42
293,50
290,45
291,51
290,44
297,34
311,36
296,36
266,51
281,49
287,42
284,37
277,37
285,47
268,60
297,40
255,25
290,41
289,27
266,44
311,34
282,32
307,27
276,38
276,40
283,50
281,51
292,45
274,51
284,30
293,45
314,41
303,44
292,34
270,53
274,33
269,62
294,45
327,30
290,36
268,47
267,52
284,46
289,42
294,32
296,24
291,36
279,50
281,35
296,35
300,44
293,44
279,51
293,42
301,31
270,46
261,53
269,54
281,35
301,41
294,31
285,42
309,41
278,40
266,58
269,38
289,26
270,49
287,37
285,38
289,46
275,48
